Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Exports,1954-09-30T00:00:00,1056,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-10-31T00:00:00,1111,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-11-30T00:00:00,1147,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-12-31T00:00:00,1130,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-01-31T00:00:00,1168,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-02-28T00:00:00,1198,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-03-31T00:00:00,1159,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-04-30T00:00:00,1113,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-05-31T00:00:00,1132,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-06-30T00:00:00,1170,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-07-31T00:00:00,1223,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-08-31T00:00:00,1215,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-09-30T00:00:00,1235,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-10-31T00:00:00,1260,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-11-30T00:00:00,1215,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-12-31T00:00:00,1226,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-01-31T00:00:00,1289,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-02-29T00:00:00,1290,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-03-31T00:00:00,1348,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-04-30T00:00:00,1394,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-05-31T00:00:00,1413,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-06-30T00:00:00,1442,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-07-31T00:00:00,1412,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-08-31T00:00:00,1454,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-09-30T00:00:00,1586,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-10-31T00:00:00,1509,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-11-30T00:00:00,1360,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-12-31T00:00:00,1836,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-01-31T00:00:00,1653,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-02-28T00:00:00,1577,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-03-31T00:00:00,1881,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-04-30T00:00:00,1739,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-05-31T00:00:00,1560,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-06-30T00:00:00,1674,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-07-31T00:00:00,1617,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-08-31T00:00:00,1617,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-09-30T00:00:00,1605,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-10-31T00:00:00,1546,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-11-30T00:00:00,1534,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-12-31T00:00:00,1493,Monthly,TBEXTOT,2016-03-04T14:46:00
